ID,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
302,7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,6,red
303,7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,5,red
304,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6,red
305,6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,6,red
306,8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5,red
307,5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5,red
308,7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5,red
309,9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,7,red
310,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,6,red
311,8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,6,red
312,8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6,red
313,9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,7,red
314,7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7,red
315,6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,5,red
316,11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,red
317,7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6,red
318,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,red
319,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,red
320,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6,red
321,6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,6,red
322,9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7,red
323,5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,7,red
324,7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,6,red
325,8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,6,red
326,5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6,red
327,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6,red
328,7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8,red
329,6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6,red
330,10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6,red
331,6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,red
332,5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6,red
333,6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6,red
334,10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5,red
335,10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6,red
336,9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,6,red
337,7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7,red
338,8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6,red
339,10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,red
340,7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5,red
341,8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,6,red
342,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6,red
343,6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6,red
344,10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,5,red
345,10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7,red
346,8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5,red
347,6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6,red
348,7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7,red
349,5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5,red
350,10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,6,red
351,6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5,red
352,8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,4,red
353,6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6,red
354,7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,red
355,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,red
356,7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6,red
357,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,red
358,7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7,red
359,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,red
360,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,red
361,10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,6,red
362,8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6,red
363,7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,6,red
364,10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,red
365,9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,red
366,7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5,red
367,7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6,red
368,6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4,red
369,7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5,red
370,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5,red
371,8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,red
372,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,red
373,6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6,red
374,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,red
375,7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5,red
376,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,red
377,8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6,red
378,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,red
379,6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6,red
380,5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6,red
381,7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6,red
382,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,red
383,7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5,red
384,8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,red
385,7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4,red
386,7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,6,red
387,5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6,red
388,7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,5,red
389,9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5,red
390,7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,5,red
391,7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,6,red
392,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,red
393,9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,6,red
394,9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,5,red
395,9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,5,red
396,9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7,red
397,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,red
398,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,red
399,6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,5,red
400,7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,5,red
401,6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6,red
402,7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,red
403,7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5,red
404,7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,5,red
405,9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,5,red
406,8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,5,red
407,11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,6,red
408,8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4,red
409,7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,6,red
410,6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,6,red
411,7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5,red
412,7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5,red
413,7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,red
414,7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,red
415,6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,6,red
416,8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5,red
417,6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5,red
418,7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5,red
419,7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5,red
420,7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6,red
421,6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,red
422,8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7,red
423,6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5,red
424,7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,7,red
425,7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,5,red
426,7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5,red
427,5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6,red
428,10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,5,red
429,6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,5,red
430,7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,6,red
431,7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,6,red
432,7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,6,red
433,6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5,red
434,6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5,red
435,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7,red
436,6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6,7,red
437,6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6,red
438,6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6,red
439,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,red
440,7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,3,red
441,10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5,red
442,6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,5,red
443,6.1,0.6,0.08,1.8,0.071,14,45,0.99336,3.38,0.54,11,5,red
444,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.56666667,7,red
445,8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5,red
446,7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,4,red
447,7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,5,red
448,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6,red
449,6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6,red
450,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6,red
451,7.3,0.585,0.18,2.4,0.078,15,60,0.99638,3.31,0.54,9.8,5,red
452,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6,red
453,6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3,red
454,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6,red
455,7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,6,red
456,7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6,red
457,8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,5,red
458,5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6,red
459,11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,6,red
460,6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,6,red
461,7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8,red
462,7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5,red
463,6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6,red
464,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,red
465,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,red
466,6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,6,red
467,6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6,red
468,6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,6,red
469,6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,6,red
470,6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,6,red
471,6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,5,red
472,6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5,red
473,6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,7,red
474,7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,6,red
475,6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5,red
476,5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,6,red
477,6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,6,red
478,5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6,red
479,5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5,red
480,6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,6,red
481,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,white
482,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7,white
483,6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6,white
484,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,white
485,7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7,white
486,8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6,white
487,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,white
488,6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6,white
489,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,white
490,7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,white
491,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,white
492,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,white
493,6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6,white
494,7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7,white
495,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5,white
496,6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5,white
497,6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7,white
498,6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6,white
499,6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,white
500,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,white
501,6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6,white
502,7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5,white
503,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,white
504,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,white
505,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,white
506,7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,white
507,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,white
508,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6,white
509,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,white
510,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,white
511,7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6,white
512,8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,7,white
513,7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5,white
514,7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,white
515,6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5,white
516,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,white
517,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4,white
518,7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6,white
519,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,white
520,6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6,white
521,6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,5,white
522,6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5,white
523,8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6,white
524,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,white
525,8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6,white
526,8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6,white
527,6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6,white
528,6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4,white
529,6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7,white
530,6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,white
531,7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5,white
532,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,white
533,6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5,white
534,9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5,white
535,7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,6,white
536,7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4,white
537,6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,7,white
538,6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,white
539,6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5,white
540,6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6,white
541,6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6,white
542,6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6,white
543,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5,white
544,6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,6,white
545,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,white
546,6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5,white
547,6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,6,white
548,5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4,white
549,6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6,white
550,5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5,white
551,6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,7,white
552,6.7,0.13,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,6,white
553,5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,white
554,7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,white
555,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,white
556,6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,6,white
557,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6,white
558,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6,white
559,7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5,white
560,6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,6,white
561,6.1,0.18,0.36,2,0.038,20,249.5,0.9923,3.37,0.79,11.3,6,white
562,6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7,white
563,6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,5,white
564,8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,3,white
565,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5,white
566,5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,6,white
567,6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5,white
568,6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,5,white
569,5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,6,white
570,5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,5,white
571,7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,5,white
572,6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4,white
573,6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5,white
574,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,white
575,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,white
576,7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5,white
577,9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5,3,white
578,7.2,0.19,0.46,3.8,0.041,82,187,0.9932,3.19,0.6,11.2,7,white
579,7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,6,white
580,8.3,0.2,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,6,white
581,6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6,white
582,7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6,white
583,7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,5,white
584,6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,7,white
585,7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10,6,white
586,6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,6,white
587,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,white
588,6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6,white
589,6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6,white
590,7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6,white
591,6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6,white
592,7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5,white
593,6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6,white
594,6.3,0.23,0.33,1.5,0.036,15,105,0.991,3.32,0.42,11.2,6,white
595,6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2,7,white
596,5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5,white
597,7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,5,white
598,5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6,white
599,5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6,white
600,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,white
601,6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,6,white
602,6,0.18,0.27,1.5,0.089,40,143,0.9923,3.49,0.62,10.8,6,white
